ride_date,station_id,daily_ridership,raw_text_field,subway_ridership,bus_ridership,lirr_ridership,metro_north_ridership,access_a_ride_ridership,bridges_tunnels_ridership,pre_pandemic_comparison
2020-05-19,1,100000,MTA Aggregate,100000,17296,21599,12777,0,0,6
2020-05-20,1,100000,MTA Aggregate,100000,17674,22224,12753,0,0,6
2020-05-21,1,100000,MTA Aggregate,100000,17565,22585,13294,0,0,6
2020-05-22,1,100000,MTA Aggregate,100000,16453,22830,14711,0,0,6
2020-05-23,1,100000,MTA Aggregate,100000,7186,10983,7613,0,0,9
2020-05-24,1,100000,MTA Aggregate,100000,6642,11871,8977,0,0,10
2020-05-25,1,100000,MTA Aggregate,100000,7996,19321,12982,0,0,13
2020-05-26,1,100000,MTA Aggregate,100000,17819,26691,14937,0,0,7
2020-05-27,1,100000,MTA Aggregate,100000,17911,26483,14432,0,0,7
2020-05-28,1,100000,MTA Aggregate,100000,17535,25175,14161,0,0,7
2020-05-29,1,100000,MTA Aggregate,100000,16378,25070,15697,0,0,6
2020-05-30,1,100000,MTA Aggregate,100000,9112,15557,11003,0,0,0
2020-05-31,1,100000,MTA Aggregate,100000,6724,13554,9390,0,0,0
2020-06-01,1,100000,MTA Aggregate,100000,17833,34339,16184,0,0,8
2020-06-02,1,100000,MTA Aggregate,100000,16576,33769,16294,0,0,9
2020-06-03,1,100000,MTA Aggregate,100000,17830,32523,15649,0,0,8
2020-06-04,1,100000,MTA Aggregate,100000,18538,29771,17149,0,0,8
2020-06-05,1,100000,MTA Aggregate,100000,16863,33482,18065,0,0,8
2020-06-06,1,100000,MTA Aggregate,100000,8912,18090,12179,0,0,0
2020-06-07,1,100000,MTA Aggregate,100000,7579,16797,11231,0,0,2
2020-06-08,1,100000,MTA Aggregate,100000,25663,42630,20140,0,0,10
2020-06-09,1,100000,MTA Aggregate,100000,26247,42274,19543,0,0,10
2020-06-10,1,100000,MTA Aggregate,100000,26735,43083,20517,0,0,11
2020-06-11,1,100000,MTA Aggregate,100000,24284,40961,19525,0,0,10
2020-06-12,1,100000,MTA Aggregate,100000,24459,45072,24165,0,0,10
2020-06-13,1,100000,MTA Aggregate,100000,12115,25355,16675,0,0,0
2020-06-14,1,100000,MTA Aggregate,100000,8731,20859,13794,0,0,0
2020-06-15,1,100000,MTA Aggregate,100000,27057,47545,22841,0,0,11
2020-06-16,1,100000,MTA Aggregate,100000,28049,46876,22555,0,0,12
2020-06-17,1,100000,MTA Aggregate,100000,27924,47166,24167,0,0,11
2020-06-18,1,100000,MTA Aggregate,100000,27516,47851,24081,0,0,12
2020-06-19,1,100000,MTA Aggregate,100000,25578,50201,27772,0,0,45
2020-06-20,1,100000,MTA Aggregate,100000,11899,28959,18559,0,0,0
2020-06-21,1,100000,MTA Aggregate,100000,9072,27094,16719,0,0,0
2020-06-22,1,100000,MTA Aggregate,100000,30863,53878,25367,0,0,13
2020-06-23,1,100000,MTA Aggregate,100000,32305,52898,24909,0,0,14
2020-06-24,1,100000,MTA Aggregate,100000,32504,52354,25277,0,0,14
2020-06-25,1,100000,MTA Aggregate,100000,32393,53444,25644,0,0,14
2020-06-26,1,100000,MTA Aggregate,100000,30480,55647,29700,0,0,13
2020-06-27,1,100000,MTA Aggregate,100000,12942,26773,17932,0,0,14
2020-06-28,1,100000,MTA Aggregate,100000,10167,25680,15918,0,0,15
2020-06-29,1,100000,MTA Aggregate,100000,33264,63309,28163,0,0,14
2020-06-30,1,100000,MTA Aggregate,100000,33996,57955,27077,0,0,15
2020-07-01,1,100000,MTA Aggregate,100000,32921,56505,27770,0,0,17
2020-07-02,1,100000,MTA Aggregate,100000,32730,64261,31948,0,0,17
2020-07-03,1,100000,MTA Aggregate,100000,16862,56181,32049,0,0,32
2020-07-04,1,100000,MTA Aggregate,100000,10769,38388,22085,0,0,14
2020-07-05,1,100000,MTA Aggregate,100000,9832,34569,19136,0,0,15
2020-07-06,1,100000,MTA Aggregate,100000,31548,63862,30556,0,0,16
2020-07-07,1,100000,MTA Aggregate,100000,33595,61756,30507,0,0,17
2020-07-08,1,100000,MTA Aggregate,100000,34242,63048,30174,0,0,18
2020-07-09,1,100000,MTA Aggregate,100000,34762,65483,31913,0,0,19
2020-07-10,1,100000,MTA Aggregate,100000,25544,55929,29683,0,0,15
2020-07-11,1,100000,MTA Aggregate,100000,12872,30059,18683,0,0,16
2020-07-12,1,100000,MTA Aggregate,100000,10966,34905,19859,0,0,20
2020-07-13,1,100000,MTA Aggregate,100000,33302,66384,31876,0,0,18
2020-07-14,1,100000,MTA Aggregate,100000,35391,66321,31921,0,0,19
2020-07-15,1,100000,MTA Aggregate,100000,34701,66549,32603,0,0,20
2020-07-16,1,100000,MTA Aggregate,100000,34199,66732,33258,0,0,20
2020-07-17,1,100000,MTA Aggregate,100000,29696,64806,35414,0,0,18
2020-07-18,1,100000,MTA Aggregate,100000,14335,41235,24071,0,0,15
2020-07-19,1,100000,MTA Aggregate,100000,9845,36429,18675,0,0,14
2020-07-20,1,100000,MTA Aggregate,100000,30196,67721,32279,0,0,18
2020-07-21,1,100000,MTA Aggregate,100000,32482,67594,33213,0,0,20
2020-07-22,1,100000,MTA Aggregate,100000,33863,65348,32485,0,0,20
2020-07-23,1,100000,MTA Aggregate,100000,33999,65637,32975,0,0,19
2020-07-24,1,100000,MTA Aggregate,100000,29987,65889,36639,0,0,18
